,NU_ANO_CENSO,CO_UF,CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_DDD,NU_TELEFONE,NU_TELEFONE_PUBLICO,NU_FAX,new_latitude,new_longitude,latitude,longitude,email,url_website,abr_nome,Lat,Long,Detalhamento,,,,,,,,,,,,
167367,2018,43,4314902,IEI CRECHE DO CORACAO,43001971,RUA RIO MARIA,207,-,CASCATA,91712270,51,33545892,-,-,-30.092123,-51.1748658,,,,,,-30.092123,-51.1748658,Rua Rio Maria, Vila Canudos, Cascata, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91712-150, Brasil,,
167368,2018,43,4314902,EEI TURMA DA MAGALI,43001980,ADAO PRETTO,4967,-,LOMBA DO PINHEIRO,91570735,51,33363767,-,-,-30.1050101,-51.1160239,,,,,,-30.1050101,-51.1160239,Avenida Deputado Adão Pretto, Lomba do Pinheiro, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91560-640, Brasil,,,
167369,2018,43,4314902,EEI PEQUENOS BRILHANTES,43001998,AVENIDA BALTAZAR DE OLIVEIRA GARCIA,4660,FUNDOS LATERAL,RUBEM BERTA,91180000,51,33657890,-,-,-30.0138486,-51.0990314,,,,,,-30.0138486,-51.0990314,Avenida Baltazar de Oliveira Garcia, Rubem Berta, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91180-003, Brasil,,,
167370,2018,43,4314902,INST EDUC INF BILINGUE UP KIDS SCHOOL,43002021,ALAMEDA EMILIO DE MENEZES,100,-,TRES FIGUEIRAS,91340360,51,33287118,-,-,-30.0296626,-51.1784974,,,,,,-30.0296626,-51.1784974,Alameda Emílio Menezes, Três Figueiras, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91340-310, Brasil,,,
167371,2018,43,4314902,EEI CAMBALHOTA,43002030,RUA GONCALVES LEDO,185,-,PARTENON,90610250,51,33985458,-,-,-30.0540422,-51.1948908,,,,,,-30.0540422,-51.1948908,Rua Gonçalves Ledo, Partenon, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90620-270, Brasil,,,
167372,2018,43,4314902,EEI GENTE MIUDA,43002064,AVENIDA BENNO MENTZ,215,-,VILA IPIRANGA,91370020,51,33666812,-,-,-30.0266568,-51.1463775,,,,,,-30.0266568,-51.1463775,Avenida Benno Mentz, Vila Ipiranga, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91370-020, Brasil,,,
167373,2018,43,4314902,EEI SOBRADINHO ALEGRE,43002188,AVENIDA CORONEL LUCAS DE OLIVEIRA,1927,-,PETROPOLIS,90460001,51,33884807,-,-,-30.0394093,-51.1944332,,,,,,-30.0394093,-51.1944332,Avenida Coronel Lucas de Oliveira, Petrópolis, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90410-005, Brasil,,,
167374,2018,43,4314902,EEI PAMPEANO,43002200,RUA PEDRO IVO,88,-,MONT SERRAT,90450210,51,30192528,-,-,-30.0294833,-51.194397,,,,,,-30.0294833,-51.194397,Rua Pedro Ivo, Montserrat, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90440-010, Brasil,,,
167375,2018,43,4314902,EEI FILHOS DA PROMESSA,43002218,RUA SILVEIRO,841,-,MENINO DEUS,90850170,51,37791140,-,-,-30.0621753,-51.2283795,,,,,,-30.0621753,-51.2283795,Rua Silveiro, Menino Deus, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90880-481, Brasil,,,
167376,2018,43,4314902,EEI MUNDO MAGICO DA ALEGRIA,43002269,RUA CIRINO PRUNES,292,-,ESPIRITO SANTO,91770210,51,32632094,-,-,-30.1467972,-51.209844,,,,,,-30.1467972,-51.209844,Rua Cirino Prunes, Espírito Santo, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91751-443, Brasil,,,
167377,2018,43,4314902,COLEGIO MARISTA IRMAO JAIME BIAZUS,43002803,ESTRADA ANTONIO SEVERINO,1493,-,MARIO QUINTANA,91250330,51,30862300,-,-,-30.0238933,-51.0964305,,,,,,-30.0238933,-51.0964305,Colégio Marista Irmão Jaime Biazus,1493, Estrada Antônio Severino, Mário Quintana, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91250-330, Brasil,
167378,2018,43,4314902,EEI ALEGRIA DE CRIANCA,43004229,AV ALCIDES MAIA,259,-,SARANDI,91130700,51,996576459,-,-,-29.9860257,-51.1263441,,,,,,-29.9860257,-51.1263441,Avenida Alcides Maia, Sarandi, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91120-280, Brasil,,,
167379,2018,43,4314902,EEI TURMINHA DO PUFF,43004245,RUA PADRE ROQUE GONZALES,474,-,LOMBA DO PINHEIRO,91570170,51,33546622,-,-,-30.1148253,-51.1021326,,,,,,-30.1148253,-51.1021326,Rua Padre Roque Gonzales, Lomba do Pinheiro, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91570-730, Brasil,,,
167380,2018,43,4314902,EEI SO BEBE,43004261,RUA JAGUARI,582,-,CRISTAL,90820180,51,31780086,-,-,-30.0871603,-51.2355578,,,,,,-30.0871603,-51.2355578,Rua Jaguari, Cristal, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90820-170, Brasil,,,
167381,2018,43,4314902,EEI ECOVILLE KIDS,43004288,AVENIDA ECOVILLE,845,-,SARANDI,91150401,51,33442918,-,-,-29.9991144,-51.1225714,,,,,,-29.9991144,-51.1225714,Avenida Ecoville, Sarandi, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91150-401, Brasil,,,
167382,2018,43,4314902,EEI CRIARTE,43004296,RUA ROQUE CALAGE,755,-,PASSO DA AREIA,91350090,-,-,-,-,-30.0131564,-51.163804,,,,,,-30.0131564,-51.163804,Rua Roque Calage, Passo da Areia, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91010-002, Brasil,,,
167383,2018,43,4314902,EEI IGORZINHO,43004300,RUA HONORATO TONIOLO,106,-,HIPICA,91755100,51,32641066,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167384,2018,43,4314902,5218 IEI CARLOS ALBERTO TEJERA DE RE,43004318,AV ENG LUDOLFO BOEHL,1402,-,CASCATA,91720150,51,33157944,-,33187053,-30.0838606,-51.2005545,-30.0838606,-51.2005545,micheledubinpoa@gmail.com                         ,                                                                                                    ,5218 CARLOS ALBERTO TEJERA DE ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167385,2018,43,4314902,5217 EEI EDUARDA PUJOL ZANIRATTI,43004334,AV ECON NILO WULFF,929,-,RESTINGA,91790000,51,30223551,32479191,91365312,-30.1504733,-51.145228,-30.1504733,-51.145228,contatoinfantojuvenil@gmail.com                   ,                                                                                                    ,5217 EDUARDA PUJOL ZANIRATTI  ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167386,2018,43,4314902,5211 EEI JARDIM DO FUTURO,43004342,RUA DA COMUNIDADE,85,-,LOMBA DOPINHEIRO,91560550,51,33222359,-,99121510,-30.1280419,-51.1175524,-30.1280419,-51.1175524,jardimdofuturo@gmail.com                          ,                                                                                                    ,5211 JARDIM DO FUTURO         ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167387,2018,43,4314902,5210 IEI EREMI,43004350,R PAULINO AZURENHA,445,-,PARTENON,90680240,51,33526705,-,99119184,-30.0660083,-51.19386359999999,-30.0660083,-51.19386359999999,crecheeremi@hotmail.com                           ,                                                                                                    ,5210 EREMI                    ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167388,2018,43,4314902,5208 IEI VITORIA,43004369,AV A J RENNER,773,-,HUMAITA,90245000,51,33625794,-,98192838,-29.9888897,-51.1948354,-29.9888897,-51.1948354,ieivitoria@hotmail.com                            ,                                                                                                    ,5208 VITÃRIA - IEDUVIT        ,-29.9971815,-51.1974059,Avenida Antônio Jacob Renner, Humaitá, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90245-000, Brasil,,,
167389,2018,43,4314902,EEI COLIBRI,43004377,AVENIDA ENGENHEIRO ALFREDO CORREA DAUDT,300,-,BOA VISTA,90480120,51,35161300,-,-,-30.0223482,-51.1796366,,,,,,-30.0223482,-51.1796366,Avenida Engenheiro Alfredo Correa Daudt, Boa Vista, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90520-002, Brasil,,,
167390,2018,43,4314902,EEI BANANA NANIKA,43004385,AVENIDA PROTASIO ALVES,2820,-,RIO BRANCO,90410000,51,30624149,-,-,-30.0399873,-51.1973977,,,,,,-30.0399873,-51.1973977,Avenida Protásio Alves, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90420-041, Brasil,,,
167391,2018,43,4314902,EEI MUNDO DO SABER,43004407,AVENIDA EDGAR PIRES DE CASTRO,242,-,ABERTA DOS MORROS,91787152,51,30224932,-,-,-30.1573909,-51.1965055,,,,,,-30.1573909,-51.1965055,Avenida Juca Batista, Aberta dos Morros, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91755-000, Brasil,,,
167392,2018,43,4314902,EEI CANTINHO DO SABER,43004415,AVENIDA SAO SEBASTIAO,57,-,NONOAI,90830420,51,32791001,-,-,-30.0903249,-51.2247717,,,,,,-30.0903249,-51.2247717,Avenida São Sebastião, Nonoai, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90830-340, Brasil,,,
167393,2018,43,4314902,INSTITUTO EDUCACIONAL REVERENDO OLAVO NUNES,43004423,RUA 25 DE JULHO, Nï¿½ 437,-,-,SAO JOAO,91031970,51,33252477,-,-,Não encontrado,-,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,
167394,2018,43,4314902,5207 IEI PE DE MOLEQUE,43004610,R MARIA PAULA LEAL,200,-,FARRAPOS,90250617,51,33621265,92337263,-,-29.983338,-51.1997823,-29.983338,-51.1997823,instituicaopedemoleque@gmail.com                  ,                                                                                                    ,5207 PÃ DE MOLEQUE            ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167395,2018,43,4314902,EEI PEQUENO APRENDIZ,43004679,RUA VITOR HUGO,25,-,PETROPOLIS,90630070,51,30126225,-,-,-30.0433704,-51.1882543,,,,,,-30.0433704,-51.1882543,Rua Vitor Hugo, Petrópolis, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90670-160, Brasil,,,
167396,2018,43,4314902,EEI SONHO DE CRIANCA,43004687,PRACA ALBERTO RAMOS,852,-,HIGIENOPOLIS,90520050,51,33929272,-,-,-30.02094665,-51.1821797216137,,,,,,-30.02094665,-51.1821797216137,Praça Alberto Ramos, Higienópolis, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil,,,,
167397,2018,43,4314902,EEI JOAO E MARIA,43004709,RUA SAPE,575,-,JARDIM IPIRANGA,91350050,51,33412486,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167398,2018,43,4314902,EEI ANJINHOS TRAVESSOS,43004733,RUA LIBERAL,3187,-,CAVALHADA,91920682,51,35196048,-,-,-30.1103001,-51.2314469,,,,,,-30.1103001,-51.2314469,Rua Liberal, Parque Madepinho, Cavalhada, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91920-682, Brasil,,
167399,2018,43,4314902,KINDERHOUSE ESCOLA DE EDUCACAO INFANTIL LTDA - ME,43004741,RUA PEDRO WEINGARTNER,147,-,RIO BRANCO,90430140,51,30622040,-,-,-30.0304854,-51.1996223,,,,,,-30.0304854,-51.1996223,Rua Pedro Weingartner, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90430-090, Brasil,,,
167400,2018,43,4314902,EEI LAPIS DE COR,43004750,AVENIDA PERNAMBUCO,-,-,NAVEGANTES,90240001,51,32641873,-,-,-30.0021937,-51.1981737,,,,,,-30.0021937,-51.1981737,Avenida Pernambuco, Navegantes, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90240-550, Brasil,,,
167401,2018,43,4314902,ESCOLA DE EDUCACAO INFANTIL MUNDO,43004768,RUA BARBEDO,-,-,MENINO DEUS,90110260,51,21117096,-,-,-30.0571166,-51.2295269,,,,,,-30.0571166,-51.2295269,Rua Barbedo, Menino Deus, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90850-100, Brasil,,,
167402,2018,43,4314902,EEI SITIO DO PICA PAU AMARELO,43004784,RUA GOMES DE FREITAS,330,-,JARDIM ITU SABARA,91380330,51,33487504,-,-,-30.0143578,-51.143347,,,,,,-30.0143578,-51.143347,Rua Gomes de Freitas, Jardim Itu, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91370-050, Brasil,,,
167403,2018,43,4314902,EEI ARTE E CIA,43004814,RUA NUNES,494,-,MEDIANEIRA,90870390,51,33851321,-,-,-30.0704494,-51.2080613,,,,,,-30.0704494,-51.2080613,Rua Nunes, Medianeira, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90880-270, Brasil,,,
167404,2018,43,4314902,5205 IEI OSICOM IV - NOSSA SENHORA DA SALETE,43004822,R PARLAMENTO,215,-,PROTASIO ALVES,91450370,51,33388701,-,-,-30.041929600000003,-51.1208081,-30.041929600000003,-51.1208081,rigotti33@gmail.com                               ,                                                                                                    ,5205 OSICOM IV                ,Não encontrado,Não encontrado,,,,,,,,,,,,,
167405,2018,43,4314902,5209 IEI ACOMPAR V - LUISA CASAGRANDE LEWANDOWSKI,43004830,AV BERNARDINO SILVEIRA DE AMORIM,0,-,RUBEM BERTA,91140410,51,33670045,98028041,-,-30.0013348,-51.104881799999994,-30.0013348,-51.104881799999994,nucleo5@acompar.org                               ,                                                                                                    ,5209 ACOMPAR V- LUISA CASAGRA ,-30.0060375,-51.0944149,Avenida Bernardino Silveira Amorim, Parque dos Maias, Rubem Berta, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91170-570, Brasil,,
167406,2018,43,4314902,EEI CATIVAR,43004857,AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO,376,-,VILA IPIRANGA,91370170,51,35570591,35570592,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167407,2018,43,4314902,INST EDUC INF ABCB CRIANCA PAZ E BEM,43004865,RUA J,140,VILA NOVA IPANEMA,HIPICA,91755450,51,32332691,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167408,2018,43,4314902,INST EDUC INF ABCB SAO FRANCISCO,43004873,ESTRADA RETIRO DA PONTA GROSSA,1701,-,PONTA GROSSA,91780590,51,32332691,-,-,-30.184933,-51.2034844,,,,,,-30.184933,-51.2034844,Estrada Retiro da Ponta Grossa, Ponta Grossa, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91780-070, Brasil,,,
167409,2018,43,4314902,EEI CANTINHO DO CEU,43004881,AVENIDA ANTONIO CARVALHO,1451,-,AGRONOMIA,91430001,51,33688306,-,-,-30.0654021,-51.1514071,,,,,,-30.0654021,-51.1514071,Avenida Antônio de Carvalho, Agronomia, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91530-360, Brasil,,,
167410,2018,43,4314902,EEI AMORMEUZINHO,43004890,RUA CORONEL FERNANDO MACHADO,513,-,CENTRO HISTORICO,90010321,51,32265390,-,-,-30.0348646,-51.226429,,,,,,-30.0348646,-51.226429,Rua Coronel Fernando Machado, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90020-025, Brasil,,,
167411,2018,43,4314902,EEI GENTE PEQUENA,43005020,RUA SAICA,61,-,PETROPOLIS,90670110,51,30247388,-,30247388,-30.0467691,-51.1818049,,,,,,-30.0467691,-51.1818049,Rua Saicã, Petrópolis, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90410-002, Brasil,,,
167412,2018,43,4314902,E E IND ENS FUN KA AGUY MIRI,43005047,ETR JOSE CARDOSO DA COSTA S/N,S/N,-,LAMI,91787610,-,-,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167413,2018,43,4314902,ESC ENS FUND WALDORF QUERENCIA,43005055,RUA JOSE KANAN ARANHA,140,-,IPANEMA,91760470,51,32660150,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167414,2018,43,4314902,EEI AMIGUINHOS DO CRISTAL,43006744,RUA INHANDUI,421,-,CRISTAL,90820170,51,30135012,21123608,-,-30.0874965,-51.2410525,,,,,,-30.0874965,-51.2410525,Rua Inhanduí, Cristal, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90820-170, Brasil,,,
167415,2018,43,4314902,EEI GERACAO CRIANCA,43006752,AVENIDA PLINIO BRASIL MILANO,906,-,HIGIENOPOLIS,90520000,51,33379534,-,-,-30.0206261,-51.182341,,,,,,-30.0206261,-51.182341,Escola Geração Criança,906, Avenida Plínio Brasil Milano, Higienópolis, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90520-002, Brasil,
167416,2018,43,4314902,EEI CONTO DE FADAS,43006787,RUA NERO JOSE DA SILVA FILHO,285,-,PARTENON,91530570,51,32791850,-,-,-30.0669915,-51.1545566,,,,,,-30.0669915,-51.1545566,Rua Nero José da Silva filho, Jardim Residencial Anna Carvalho, Partenon, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91530-640, Brasil,,
